名称,价格,标签,用途,介绍,获取途径
盐盐轻语,0,食物,为当前角色恢复生命上限的50%。,绵软可口的原味薯条，最大限度地保留了马铃薯的原始风味。,"剧情获取：找薯条狗要
目前疑似不可再生"
经典番茄,0,食物,队伍中所有角色攻击力增加200，持续180秒。多人游戏时，仅对自己的角色生效。,美味可口的薯条蘸番茄酱，经典永不过时。,"剧情获取：找薯条狗要
目前疑似不可再生"
盐盐王牌,0,食物,队伍中所有角色攻击力增加200，持续180秒。多人游戏时，仅对自己的角色生效。,美味可口的原味薯条，纯粹无需加盐。,"剧情获取：找薯条狗要
目前疑似不可再生"
硬核番茄,0,食物,队伍中所有角色暴击率增加20%，持续180秒。多人游戏时，仅对自己的角色生效。,酥脆可口的薯条蘸番茄酱，有些刺激的口感。,"剧情获取：找薯条狗要
目前疑似不可再生"
霜铁交响,0,食物,队伍中所有角色暴击率增加20%，持续180秒。多人游戏时，仅对自己的角色生效。,酥脆可口的薯条冰淇淋，冰火两重天的风味令人上瘾。,"剧情获取：找薯条狗要
目前疑似不可再生"
强效止疼片,0,食物,为当前角色恢复生命值上限的30%。,比起自己服用，想想用这种「硬通货」能换来多少实用东西，或许会起到更好的镇痛效果——「一想到有赚头，哪儿都不疼了！」,"治安拘留所探索获得 
格斗俱乐部"
工作午餐,0,"食物
唯一",为当前角色恢复生命值上限的25%，并额外回复1000生命值。,一顿丰盛的午餐，美味到让人想把盘子都舔干净。要是能和厨师搞好关系——非常好的关系，得让她像看自己犯错的孩子那样看你——或许就可以得到一份这样的小灶。,"治安拘留所探索获得
唯一，目前疑似不可再生"
标准午餐,0,食物,为当前角色恢复2500点生命值。,难吃的牢饭，人人有份。分量勉强能填饱肚子，要是能和厨师搞好关系，她或许会在打饭时为你额外手抖一下。,治安拘留所探索获得（每日午餐）
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
